repo_code	file_id	object_id	file_format	file_name	file_size	md5_sum	index_object_id	donor_id/donor_count	project_id/project_count	study	bundle_id
collaboratory	FI801453	f57c82c5-43d7-5424-83dc-e3da2d0754c2	BAM	52c039519e144101233095d3ec8e9b04.ls3365_C9HB8ANXX_8_1nf.ua.bam	10834926955	52c039519e144101233095d3ec8e9b04		DO229102	UTCA-FR		EGAR00001526691
collaboratory	FI801455	ff39ee46-61d6-552b-8dbe-492a3b43949f	BAM	2bb5f14ea1e3d4c021f1f4ffb7bd2572.ls3275_C9HLTANXX_7_14nf.ua.bam	10725157731	2bb5f14ea1e3d4c021f1f4ffb7bd2572		DO229100	UTCA-FR		EGAR00001526621
collaboratory	FI801456	42187f91-c397-5d02-97ad-ac6572d33ea1	BAM	2aa44192522f9e312a5dad30cda34524.ls2774_C4PB0ANXX_8_12nf.ua.bam	21637285096	2aa44192522f9e312a5dad30cda34524		DO229541	UTCA-FR		EGAR00001598382
collaboratory	FI801410	bf2356c3-cd52-566c-9d4e-5343fdf91e48	BAM	41aecd9bae0c48c753d84ba733e5f3dc.ls3176_C9HB8ANXX_8_3nf.ua.bam	10273437219	41aecd9bae0c48c753d84ba733e5f3dc		DO229545	UTCA-FR		EGAR00001598540
collaboratory	FI801391	bf72775c-4efd-5c22-94cc-e1f0ba5cbd93	BAM	fd82768ff069ef3f3ad871285fcbfc8c.ls3384_C9F6HANXX_5_16nf.ua.bam	11074741334	fd82768ff069ef3f3ad871285fcbfc8c		DO229102	UTCA-FR		EGAR00001526672
collaboratory	FI801340	08a8a9f8-146b-51bf-848d-5cca5e588a1b	BAM	c53307bd8e65dd6b1a73a4f87abbf990.ls3119_C8DTBANXX_2_18nf.ua.bam	11434472331	c53307bd8e65dd6b1a73a4f87abbf990		DO229543	UTCA-FR		EGAR00001598456
collaboratory	FI801347	61f9aaa8-6f1c-59b6-85cd-f0e497520f8b	BAM	687677ecdcdba6ea679ccd1070860e7f.ls3428_C8VRLANXX_8_13nf.ua.bam	12068445818	687677ecdcdba6ea679ccd1070860e7f		DO229100	UTCA-FR		EGAR00001526608
collaboratory	FI801369	3fd04df4-eb94-5485-87ee-47bb60257c71	BAM	ead3f49bcb30963194266eb16609710e.ls3652_C9KN6ANXX_6_10nf.ua.bam	14278569778	ead3f49bcb30963194266eb16609710e		DO229546	UTCA-FR		EGAR00001598599
collaboratory	FI801371	2a3e1575-f968-5e80-bff2-465daac12723	BAM	4f2520746e0da233182fa73b300c1e3d.ls3175_C8BE6ANXX_4_21nf.ua.bam	16375923677	4f2520746e0da233182fa73b300c1e3d		DO229544	UTCA-FR		EGAR00001598504
collaboratory	FI801320	04e15505-30f2-51bc-a50b-5fefb83470a3	BAM	a1b26418f51c21a51ab1171c30c82310.ls3566_C9KGPANXX_6_27nf.ua.bam	13001787435	a1b26418f51c21a51ab1171c30c82310		DO229546	UTCA-FR		EGAR00001598577
